epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.72122,2.83425,17.9386,1.65609,0.00067,0.22581,0.00041,0.0002,1.9395,inf,1.4112,0.000647619,0.000647619,0.000647619
2,9.52463,1.96527,1.4309,1.2685,0.39927,0.73387,0.45504,0.19121,1.94825,2.37843,1.4403,0.00128826,0.00128826,0.00128826
3,13.4691,1.95468,1.01918,1.26093,0.04626,0.96774,0.04656,0.01918,1.93557,35.7565,1.63463,0.00190251,0.00190251,0.00190251
4,17.14,1.87265,0.93304,1.21938,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,20.6688,1.86118,0.86996,1.20681,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,24.192,1.86059,0.86382,1.20823,0.14286,0.01613,0.08544,0.0423,2.79853,6.58732,1.94532,0.001802,0.001802,0.001802
7,28.1549,1.76931,0.81526,1.19453,0.97226,0.98387,0.98252,0.46009,1.72332,0.86244,1.23775,0.0017624,0.0017624,0.0017624
8,31.7415,1.8389,0.82928,1.1897,0.96412,0.99194,0.98624,0.5046,1.68719,0.87815,1.22119,0.0017228,0.0017228,0.0017228
9,35.3609,1.80789,0.8171,1.17607,0.97461,0.98387,0.98988,0.48548,1.67726,0.7609,1.20866,0.0016832,0.0016832,0.0016832
10,39.0265,1.78968,0.79584,1.17592,0.96598,0.98387,0.97733,0.45802,1.74796,0.75746,1.23206,0.0016436,0.0016436,0.0016436
11,42.5309,1.81603,0.78315,1.19002,0.96728,0.99194,0.98086,0.50034,1.71208,0.79141,1.20172,0.001604,0.001604,0.001604
12,46.1481,1.7955,0.76764,1.17099,0.96085,0.98959,0.98566,0.46004,1.81127,0.75431,1.22621,0.0015644,0.0015644,0.0015644
13,49.731,1.77697,0.77983,1.17173,0.96011,0.99194,0.98755,0.49207,1.72279,0.70618,1.20269,0.0015248,0.0015248,0.0015248
14,53.2966,1.77994,0.76352,1.16972,0.95344,0.99095,0.97602,0.5123,1.69957,0.66009,1.19439,0.0014852,0.0014852,0.0014852
15,56.9701,1.72016,0.75331,1.13027,0.97559,1,0.98769,0.50226,1.74347,0.73424,1.20153,0.0014456,0.0014456,0.0014456
16,60.5626,1.74354,0.73175,1.17272,0.9714,0.99194,0.99057,0.49965,1.67824,0.67918,1.17886,0.001406,0.001406,0.001406
17,64.1164,1.77044,0.74681,1.15469,0.97473,0.99194,0.98946,0.51498,1.69359,0.67364,1.1854,0.0013664,0.0013664,0.0013664
18,67.7221,1.7204,0.72055,1.13475,0.95948,0.98387,0.97601,0.53171,1.67171,0.64447,1.18867,0.0013268,0.0013268,0.0013268
19,71.345,1.70214,0.71401,1.13361,0.96838,0.99194,0.98639,0.52553,1.66578,0.6615,1.16981,0.0012872,0.0012872,0.0012872
20,74.9723,1.66319,0.6843,1.1227,0.96806,0.99194,0.98772,0.50538,1.70178,0.65632,1.20159,0.0012476,0.0012476,0.0012476
21,78.5972,1.68637,0.6899,1.1324,0.98411,0.99905,0.99427,0.50903,1.62675,0.66044,1.1681,0.001208,0.001208,0.001208
22,82.3444,1.6986,0.69658,1.13528,0.97539,0.98387,0.98401,0.52932,1.6479,0.6552,1.17586,0.0011684,0.0011684,0.0011684
23,86.4223,1.68531,0.69855,1.12889,0.98381,1,0.9937,0.53289,1.65495,0.61454,1.17226,0.0011288,0.0011288,0.0011288
24,90.4033,1.67408,0.68342,1.12045,0.98305,1,0.99129,0.55357,1.61924,0.58142,1.16033,0.0010892,0.0010892,0.0010892
25,94.2992,1.63825,0.67693,1.10143,0.97731,0.98387,0.98738,0.54112,1.64643,0.6068,1.17679,0.0010496,0.0010496,0.0010496
26,98.1828,1.6227,0.64379,1.11012,0.9759,0.99194,0.99135,0.54996,1.64799,0.58897,1.17586,0.00101,0.00101,0.00101
27,102.076,1.65688,0.65166,1.11729,0.98022,0.99194,0.99444,0.54513,1.65068,0.59348,1.17452,0.0009704,0.0009704,0.0009704
28,105.914,1.64027,0.64918,1.09771,0.97577,1,0.99159,0.55818,1.58532,0.57186,1.15267,0.0009308,0.0009308,0.0009308
29,109.886,1.62846,0.63849,1.12844,0.99199,0.9983,0.9898,0.57672,1.5519,0.5557,1.13999,0.0008912,0.0008912,0.0008912
30,113.725,1.64205,0.65884,1.10962,0.99191,0.989,0.99113,0.5471,1.59053,0.58454,1.14573,0.0008516,0.0008516,0.0008516
31,117.568,1.6523,0.634,1.10846,0.97593,1,0.99175,0.55395,1.60512,0.58233,1.16193,0.000812,0.000812,0.000812
32,121.45,1.57344,0.62669,1.0956,0.98315,0.99194,0.99347,0.54408,1.61006,0.58769,1.16317,0.0007724,0.0007724,0.0007724
33,125.291,1.60352,0.62907,1.11151,0.98951,0.99194,0.99419,0.5619,1.55041,0.56127,1.14535,0.0007328,0.0007328,0.0007328
34,129.193,1.65064,0.63778,1.11624,0.97499,0.98387,0.99145,0.55442,1.6037,0.55827,1.15352,0.0006932,0.0006932,0.0006932
35,133.071,1.5829,0.61036,1.10113,0.97541,0.98387,0.99236,0.57432,1.60889,0.55972,1.15241,0.0006536,0.0006536,0.0006536
36,137.116,1.59373,0.60933,1.10895,0.97577,1,0.98745,0.56449,1.61552,0.53959,1.15519,0.000614,0.000614,0.000614
37,140.968,1.61441,0.62156,1.11376,0.97637,0.99954,0.99011,0.56717,1.588,0.55031,1.14515,0.0005744,0.0005744,0.0005744
38,144.852,1.62221,0.6175,1.10686,0.97578,1,0.9919,0.56296,1.58081,0.54559,1.14184,0.0005348,0.0005348,0.0005348
39,148.671,1.61546,0.62072,1.11589,0.98278,0.99194,0.99411,0.57059,1.61307,0.55107,1.15102,0.0004952,0.0004952,0.0004952
40,152.359,1.58637,0.59918,1.08465,0.98775,1,0.9914,0.5707,1.58447,0.53856,1.1409,0.0004556,0.0004556,0.0004556
41,157.167,1.60471,0.58598,1.17295,0.98274,1,0.99212,0.56035,1.58945,0.55287,1.14626,0.000416,0.000416,0.000416
42,160.649,1.6038,0.57037,1.17609,0.9823,1,0.99444,0.56905,1.58212,0.54577,1.14199,0.0003764,0.0003764,0.0003764
43,164.107,1.59771,0.56727,1.14886,0.98286,1,0.99403,0.5592,1.62859,0.53946,1.15269,0.0003368,0.0003368,0.0003368
44,167.711,1.58944,0.56013,1.14828,0.99078,1,0.99484,0.56906,1.59156,0.51754,1.14651,0.0002972,0.0002972,0.0002972
45,171.147,1.57319,0.56049,1.15042,0.98327,1,0.99348,0.55988,1.57709,0.52341,1.13818,0.0002576,0.0002576,0.0002576
46,174.569,1.54031,0.55693,1.13736,0.98341,1,0.99371,0.56512,1.56588,0.5196,1.13741,0.000218,0.000218,0.000218
47,178.003,1.57397,0.55739,1.14588,0.98346,1,0.99468,0.56233,1.57913,0.52992,1.13886,0.0001784,0.0001784,0.0001784
48,181.443,1.55864,0.54759,1.13643,0.98318,1,0.99403,0.55477,1.58289,0.51752,1.14114,0.0001388,0.0001388,0.0001388
49,184.832,1.54067,0.54623,1.13651,0.992,0.99993,0.99396,0.56356,1.57671,0.51439,1.13767,9.92e-05,9.92e-05,9.92e-05
50,188.256,1.54906,0.53813,1.15829,0.98946,1,0.9934,0.56748,1.57349,0.51567,1.13716,5.96e-05,5.96e-05,5.96e-05
